SKU Code,Brand Code,Category,Bill Number,Store Code,Sale Date,Sale/Return,MRP,Sales Price,Sales Qty
SKU0719,BRAND022,Cat01,BILL02576,Store 6,2017-03-31,Sale,96.0,96.0,1
SKU0719,BRAND022,Cat01,BILL02577,Store 6,2017-04-11,Sale,96.0,96.0,1
SKU0720,BRAND022,Cat01,BILL02578,Store 6,2017-05-08,Sale,69.33,69.33,1
SKU0719,BRAND022,Cat01,BILL02579,Store 6,2017-05-15,Sale,96.0,96.0,1
SKU0721,BRAND022,Cat01,BILL02580,Store 6,2017-05-25,Sale,76.0,76.0,1
SKU0722,BRAND011,Cat01,BILL02581,Store 6,2017-06-15,Sale,66.0,66.0,1
SKU0723,BRAND028,Cat01,BILL02582,Store 6,2017-06-21,Sale,51.0,51.0,1
SKU0724,BRAND029,Cat01,BILL02583,Store 6,2017-07-04,Sale,70.0,70.0,1
SKU0052,BRAND006,Cat01,BILL02584,Store 6,2017-07-06,Sale,32.0,32.0,1
SKU0725,BRAND030,Cat01,BILL02585,Store 6,2017-07-19,Sale,89.33,89.33,1
SKU0726,,Cat01,BILL02585,Store 6,2017-07-19,Sale,54.67,54.67,1
SKU0726,,Cat01,BILL02585,Store 6,2017-07-19,Sale,54.67,54.67,1
SKU0727,BRAND031,Cat01,BILL02585,Store 6,2017-07-07,Sale,41.67,41.67,1
SKU0043,BRAND001,Cat01,BILL02586,Store 6,2017-07-24,Sale,56.67,56.67,1
SKU0586,BRAND011,Cat01,BILL02587,Store 6,2017-07-26,Sale,64.85,64.85,1
SKU0728,BRAND032,Cat01,BILL02588,Store 6,2017-08-26,Sale,79.33,79.33,1
SKU2662,BRAND003,Cat01,BILL09835,Store 6,2017-01-01,Sale,82.67,82.67,1
SKU0889,BRAND011,Cat01,BILL09836,Store 6,2017-01-01,Sale,26.0,26.0,1
SKU0200,BRAND006,Cat01,BILL09837,Store 6,2017-01-01,Sale,90.67,90.67,1
SKU0941,BRAND005,Cat01,BILL09837,Store 6,2017-01-01,Sale,0.0,0.0,1
SKU2663,BRAND135,Cat01,BILL09838,Store 6,2017-01-01,Sale,70.67,70.67,1
SKU0168,BRAND001,Cat01,BILL09839,Store 6,2017-01-01,Sale,111.33,111.33,1
SKU2124,BRAND022,Cat01,BILL09840,Store 6,2017-01-02,Sale,110.67,110.67,1
SKU0722,BRAND011,Cat01,BILL09841,Store 6,2017-01-02,Sale,66.0,66.0,1
SKU2664,BRAND030,Cat01,BILL09842,Store 6,2017-01-02,Sale,78.0,78.0,1
SKU0192,BRAND007,Cat01,BILL09843,Store 6,2017-01-02,Sale,50.67,50.67,1
SKU0170,BRAND007,Cat01,BILL09844,Store 6,2017-01-02,Sale,37.33,37.33,1
SKU2665,BRAND032,Cat01,BILL09845,Store 6,2017-01-02,Sale,79.33,79.33,1
SKU2666,BRAND136,Cat01,BILL09845,Store 6,2017-01-02,Sale,0.0,0.0,1
SKU0982,BRAND005,Cat01,BILL09846,Store 6,2017-01-02,Sale,65.33,65.33,1
SKU2667,BRAND137,Cat01,BILL09847,Store 6,2017-01-03,Sale,46.67,46.67,1
SKU0093,BRAND013,Cat01,BILL09848,Store 6,2017-01-03,Sale,24.0,24.0,1
SKU2668,BRAND022,Cat01,BILL09848,Store 6,2017-01-03,Sale,18.0,18.0,1
SKU2669,BRAND138,Cat01,BILL09849,Store 6,2017-01-03,Sale,72.0,72.0,1
SKU0192,BRAND007,Cat01,BILL09850,Store 6,2017-01-03,Sale,50.67,50.67,1
SKU0192,BRAND007,Cat01,BILL09851,Store 6,2017-01-03,Sale,50.67,50.67,1
SKU2211,BRAND022,Cat01,BILL09852,Store 6,2017-01-03,Sale,58.67,58.67,1
SKU0168,BRAND001,Cat01,BILL09853,Store 6,2017-01-03,Sale,111.33,111.33,1
SKU2188,BRAND028,Cat01,BILL09853,Store 6,2017-01-03,Sale,110.67,110.67,1
SKU2188,BRAND028,Cat01,BILL09853,Store 6,2017-01-03,Sale,110.67,110.67,1
SKU0703,BRAND001,Cat01,BILL09853,Store 6,2017-01-03,Sale,74.0,74.0,1
SKU0133,BRAND005,Cat01,BILL09854,Store 6,2017-01-03,Sale,84.0,84.0,1
SKU0271,BRAND003,Cat01,BILL09855,Store 6,2017-01-04,Sale,113.33,113.33,1
SKU0473,BRAND002,Cat01,BILL09856,Store 6,2017-01-04,Sale,95.67,95.67,1
SKU0154,BRAND004,Cat01,BILL09856,Store 6,2017-01-04,Sale,86.67,86.67,1
SKU2670,BRAND030,Cat01,BILL09857,Store 6,2017-01-04,Sale,48.0,48.0,1
SKU2203,BRAND028,Cat01,BILL09858,Store 6,2017-01-04,Sale,71.33,71.33,1
SKU0722,BRAND011,Cat01,BILL09858,Store 6,2017-01-04,Sale,66.0,66.0,1
SKU2671,BRAND139,Cat01,BILL09858,Store 6,2017-01-04,Sale,48.0,48.0,1
SKU0231,BRAND003,Cat01,BILL09859,Store 6,2017-01-04,Sale,32.0,32.0,1
